Teks,Label
selamat sore saya adalah ibu dari satu anak saya seorang janda mantan suami saya sampai sekarang masih sering menganiaya saya apa yang harus saya lakukan tolong bantuanya,Violence
mohon bantu pak saya sedang hamil pak diluar nikah anak saya kembar pak tapi pacar saya ini tidak ingin bertanggung jawab dalam arti tidak ingin anak ini pak dia menghindar dan saya gak tau harus bagaimana pak dengan keadaan saya dengan keluarga,Non-Violence
saya seorang anak perempuan yang bersuami tetapi orang tua saya selalu ikut campur masalah saya dan ayah saya mengancam akan memukuli saya apa yang harus saya lakukan,Violence
"jika anak perempuan tidak di beri nafkah orang tua nya bagaimana yang harus di lakukan Sedangkan anak nya masih bersekolah
 tolong di jawab Makasih",Non-Violence
pak saya status pernikahan sudah setahun pisah ranjang selama pernikahan dan pisah ranjang saya suka berantem dan dipukuli saya baru mengurus perceraian tapi anak saya kedua dibawa dan diambil paksa dari saya ke kampung saya takut anak kedua saya seperti anak pertama saya kena kekerasan saya ibu pekerja tidak bisa selama nya ngontrol anak anak saya tapi saya di bilang tidak bisa ngurus anak sedangkan saya tidak di kasih nafkah selama pisah ranjang dan masih berumah tangga,Violence
jika seorang ayah melarang anak untuk bertemu dengan ibu nya dan ibu dilarang untuk merawat anak apakah bisa mengadu ke kpppa,Non-Violence
saya bercerai sudah tujuh tahun tapi ngga pernah dapat nafkah buat anak kemana saya harus minta bantuan,Non-Violence
saya dan anak anak ditelantarkan di perantauan sekitar tiga tahun lebih tiba tiba suami datang bawa istri baru dengan membawa surat cerai kepada saya juga memfitnah saya sampai keluarganya semua mendukung dan membenci juga menuduh saya macam macam dan saya minta bantuan ke pptppa gak ada tanggapan malah saya disalahkan kemana saya harus minta bantuan ketidakadilan saya dan anak-anak saya makasih banyak,Violence
apakah yang di lakukan perlindungan perempuan jika seorang suami menyiksa seorang istri samapai berdarah,Violence
Bagaimanakah caranya saya untuk minta tolong atas perlindungan diri saya pencemaran nama baik dan anak saya dari ancaman pengedar narkoba,Violence
